,game_id,Team,Sh,SoT,CrdY,CrdR,PK,Gls,Cmp_x
307,348,Osasuna,17,7,1,0,0,2,586.0
643,348,Valencia,6,2,2,0,1,2,404.0
308,349,Levante,14,5,2,0,0,2,429.0
644,349,Sevilla,11,5,4,0,0,1,213.0
645,350,Athletic Club,9,3,2,0,1,2,202.0
309,350,Betis,13,3,2,0,1,3,436.0
310,351,Alavés,11,3,2,0,0,0,447.0
646,351,Villarreal,9,2,3,0,0,2,198.0
647,352,Valladolid,17,5,2,0,0,3,572.0
311,352,Elche,16,6,2,0,0,3,349.0
312,353,Cádiz,10,4,2,0,0,1,576.0
648,353,Real Madrid,6,2,2,0,0,0,311.0
649,354,Huesca,4,3,1,0,0,0,353.0
313,354,Atlético Madrid,18,6,0,0,0,1,386.0
314,355,Real Sociedad,4,1,1,0,0,1,443.0
650,355,Celta Vigo,13,4,3,0,0,0,244.0
651,356,Eibar,14,7,0,0,0,1,605.0
315,356,Granada,12,4,0,0,0,2,296.0
652,357,Getafe,9,3,1,0,0,2,436.0
316,357,Barcelona,11,2,3,0,0,0,254.0
653,359,Levante,16,7,3,0,0,4,608.0
317,359,Elche,10,5,3,0,0,1,289.0
318,360,Valladolid,9,1,1,0,1,1,296.0
654,360,Cádiz,7,0,5,1,0,0,322.0
655,361,Alavés,20,5,4,0,0,3,500.0
319,361,Valencia,6,2,3,0,1,1,196.0
656,362,Betis,17,5,3,1,0,0,538.0
320,362,Real Madrid,12,5,0,0,0,4,385.0
657,363,Getafe,19,5,4,0,0,1,388.0
321,363,Huesca,13,8,2,0,1,4,476.0
322,364,Villarreal,9,5,0,0,0,4,306.0
658,364,Barcelona,20,8,0,0,0,1,490.0
659,365,Osasuna,5,2,4,0,0,2,328.0
323,365,Celta Vigo,14,9,2,0,0,4,385.0
660,366,Granada,5,2,2,0,0,1,156.0
324,366,Sevilla,26,9,1,0,0,2,580.0
661,367,Atlético Madrid,11,2,1,0,0,1,577.0
325,367,Athletic Club,8,1,3,1,0,0,290.0
662,368,Real Sociedad,4,4,2,0,0,2,352.0
326,368,Eibar,21,4,3,1,0,1,692.0
663,370,Valladolid,6,2,2,0,0,2,183.0
327,370,Athletic Club,17,4,0,0,0,2,541.0
664,371,Granada,6,2,0,0,0,1,397.0
328,371,Barcelona,14,4,0,0,0,2,501.0
665,373,Levante,11,1,0,0,0,1,455.0
329,373,Celta Vigo,7,1,1,0,0,0,318.0
330,374,Eibar,8,3,3,0,0,2,351.0
666,374,Alavés,8,2,0,0,0,0,431.0
667,375,Atlético Madrid,10,4,7,1,1,3,218.0
331,375,Elche,10,3,6,0,1,2,436.0
668,376,Real Sociedad,14,3,5,0,0,2,371.0
332,376,Huesca,10,4,4,0,0,1,340.0
669,377,Osasuna,7,3,3,0,0,1,640.0
333,377,Real Madrid,17,3,0,0,0,0,267.0
670,378,Betis,11,2,2,0,0,0,315.0
334,378,Valladolid,9,2,4,0,0,0,171.0
335,379,Villarreal,11,2,1,0,0,1,585.0
671,379,Getafe,11,2,0,0,0,0,228.0
